date,actual,predicted
2026-05-04,7259.22021484375,4100.6978
2026-05-05,7365.1201171875,4293.818
2026-05-06,7337.10986328125,4211.21
2026-05-07,7398.93017578125,4169.133
2026-05-08,7412.83984375,4063.4993
2026-05-11,7400.9599609375,4557.8047
2026-05-12,7444.25,4501.264
2026-05-13,7501.240234375,4528.4253
2026-05-14,7408.5,4464.7646
2026-05-15,7403.0498046875,4212.8325
2026-05-18,7353.60986328125,4197.375
2026-05-19,7432.97021484375,3977.449
2026-05-20,7445.72021484375,4171.324
2026-05-21,7473.47021484375,4160.5767
2026-05-22,7519.1201171875,4520.9053
2026-05-26,7520.35986328125,4400.9663
2026-05-27,7563.6298828125,4423.995
2026-05-28,7580.06005859375,4364.239
2026-05-29,7599.9599609375,4392.806
2026-06-01,7609.77978515625,4369.518
2026-06-02,7553.68017578125,4329.0645
2026-06-03,7584.31005859375,4400.302
2026-06-04,7383.740234375,4377.9434
2026-06-05,7405.72998046875,4001.8103
2026-06-08,7386.64990234375,4087.425
